id,title,price,promo_price,url
12391,Смесь NAN 2 800г с 6 месяцев,907.0,,https://www.detmir.ru/product/index/id/12391/
3094191,Смесь NAN Тройной комфорт сухая молочная 800г с 0месяцев,1585.0,,https://www.detmir.ru/product/index/id/3094191/
12361,Смесь NAN 1 800г с 0месяцев,907.0,,https://www.detmir.ru/product/index/id/12361/
3101507,Смесь сухая Nutrilon Пепти Аллергия 800г с 0 месяцев,2909.0,2209.0,https://www.detmir.ru/product/index/id/3101507/
141322,Молочко NAN 3 800 г с 12 месяцев,1731.0,927.0,https://www.detmir.ru/product/index/id/141322/
3277747,Молочко Nestogen 4 600г с 18месяцев,1075.0,467.0,https://www.detmir.ru/product/index/id/3277747/
3277745,Молочко Nestogen 3 600г с 12месяцев,853.0,467.0,https://www.detmir.ru/product/index/id/3277745/
3194076,Смесь молочная Kabrita 1 Gold 800г c 0месяцев,5499.0,2235.0,https://www.detmir.ru/product/index/id/3194076/
3194078,Смесь молочная Kabrita 2 Gold 800г с 6месяцев,5499.0,2035.0,https://www.detmir.ru/product/index/id/3194078/
3798829,Молочко детское Nutrilon Premium 3 800г с 12месяцев,1611.0,799.0,https://www.detmir.ru/product/index/id/3798829/
3419877,Смесь сухая Nutrilon Пепти Гастро 800г с 0месяцев,2815.0,2231.0,https://www.detmir.ru/product/index/id/3419877/
501241,Молочко NAN 4 800г с 18месяцев,1731.0,947.0,https://www.detmir.ru/product/index/id/501241/
139952,Смесь молочная Nutrilon Комфорт 1 900г с 0 месяцев,1719.0,1099.0,https://www.detmir.ru/product/index/id/139952/
3249560,Смесь NAN 2 гипоаллергенная 800г с 6месяцев,1483.0,,https://www.detmir.ru/product/index/id/3249560/
3101509,Смесь молочная Nutrilon 2 гипоаллергенная 800г с 6 месяцев,1623.0,,https://www.detmir.ru/product/index/id/3101509/
3163069,Смесь молочная Nestogen 2 1050г с 6месяцев,817.0,,https://www.detmir.ru/product/index/id/3163069/
1418911,Стул для кормления Babyton Кофейный,20299.0,7919.0,https://www.detmir.ru/product/index/id/1418911/
3473247,Смесь Friso Пеп Ас 400г с 0месяцев,2097.0,1677.0,https://www.detmir.ru/product/index/id/3473247/
2622381,Молочная смесь Бибиколь Классика на основе козьего молока 800 г с 0-12 мес,3235.0,,https://www.detmir.ru/product/index/id/2622381/
3798828,Смесь молочная Nutrilon Premium 2 800г с 6месяцев,839.0,,https://www.detmir.ru/product/index/id/3798828/
